id,date,department_analytic_id/id,source_analytic_id/id,date_range_fy_id/id,journal_id/id
budget_appropriation_demo_dept02_source2_y2568,2024-10-01,account_analytic_kmitl.dept_02,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01160_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01160,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01130_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01130,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01120_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01120,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01050_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01050,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01070_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01070,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01060_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01060,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01080_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01080,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01290_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01290,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01041_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01041,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01043_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01043,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
budget_appropriation_demo_dept01280_source2_y2568,2024-10-01,account_analytic_kmitl.dept_01280,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_expense_journal
dept40_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_40,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept03_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_03,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept89380_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_89380,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept89340_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_89340,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept09_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_09,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept10_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_10,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept41_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_41,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
dept06_source2_68_rev,2025-07-02,account_analytic_kmitl.dept_06,account_analytic_kmitl.source_2,kmitl_demo.account_fiscal_year_y2568,budget.budget_move_revenue_journal
